device,max_normalized_regret,max_regret_vs_oracle_s,mean_normalized_regret,mean_regret_vs_oracle_s,median_normalized_regret,missed_opportunity_count,missed_opportunity_rate,n_conditions,p90_normalized_regret,p95_normalized_regret,policy,policy_failure_count,policy_failure_rate,total_regret_vs_oracle_s,wrong_enable_count,wrong_enable_rate
H100,0.053367,0.006594,0.011783,0.001714,0.001969,0,0.0,24,0.034904,0.037219,amort_ablation_step_only,0,0.0,0.04114,4,0.166667
H100,0.053367,0.006594,0.011915,0.001794,0.004723,2,0.083333,24,0.03079,0.037219,amortization_policy,0,0.0,0.043056,3,0.125
H100,0.053367,0.006594,0.011783,0.001714,0.001969,0,0.0,24,0.034904,0.037219,first_k_probe_policy,0,0.0,0.04114,4,0.166667
H100,19.80068,3.003756,6.974595,1.417024,7.591999,2,0.083333,24,13.661139,15.587884,job_length_only,0,0.0,34.008567,16,0.666667
H100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,oracle_best_action,0,0.0,0.0,0,0.0
H100,0.053367,0.006594,0.01243,0.001814,0.004761,0,0.0,24,0.034904,0.037219,risk_aware_policy,0,0.0,0.043525,4,0.166667
H100,9.291285,3.003756,1.912887,0.536733,0.018613,0,0.0,24,7.787624,8.083863,shape_only,0,0.0,12.881587,10,0.416667
H100,0.053367,0.006594,0.010482,0.00156,0.00094,2,0.083333,24,0.028076,0.03079,static_gate_only,4,0.166667,0.037445,7,0.291667
H100,0.053367,0.006594,0.010482,0.00156,0.00094,2,0.083333,24,0.028076,0.03079,static_gate_plus_eligibility,0,0.0,0.037445,3,0.125
H100,8.083863,3.003756,1.148344,0.3746,0.009373,2,0.083333,24,4.74924,6.687958,static_threshold,0,0.0,8.990401,7,0.291667
H100,0.053367,0.006594,0.012073,0.001957,0.005509,3,0.125,24,0.03079,0.042238,workload_agnostic_logreg_policy,5,0.208333,0.037175,1,0.041667
H100,0.053367,0.006594,0.012041,0.002063,0.00587,4,0.166667,24,0.028076,0.03079,workload_agnostic_tree_policy,2,0.083333,0.045375,2,0.083333
H100,0.298388,0.046049,0.023265,0.004002,0.00094,5,0.208333,24,0.042238,0.043013,workload_family_holdout_policy,0,0.0,0.09605,0,0.0
