batch_size,cache_state,ci95_overlap,device_label,marginal_rank,num_steps,oracle_action,oracle_runtime_s,relative_margin,runner_up_action,runner_up_runtime_s,time_accounting_mode,workload_id
4,cold_cache,True,RTX 4060,True,10,best_eager,0.10007,0.013121,eager,0.101383,cold_total,gnn_irregular
4,cold_cache,True,RTX 4060,True,50,best_eager,0.103953,0.004233,eager,0.104393,cold_total,gnn_irregular
4,cold_cache,True,RTX 4060,True,100,best_eager,0.10995,0.00945,eager,0.110989,cold_total,gnn_irregular
4,cold_cache,True,RTX 4060,True,500,best_eager,0.150911,0.018163,eager,0.153652,cold_total,gnn_irregular
16,cold_cache,True,RTX 4060,True,10,eager,0.099719,0.009958,best_eager,0.100712,cold_total,gnn_irregular
16,cold_cache,True,RTX 4060,True,50,eager,0.102205,0.024862,best_eager,0.104746,cold_total,gnn_irregular
16,cold_cache,True,RTX 4060,True,100,eager,0.108,0.01113,best_eager,0.109202,cold_total,gnn_irregular
16,cold_cache,True,RTX 4060,True,500,best_eager,0.15001,0.017852,eager,0.152688,cold_total,gnn_irregular
32,cold_cache,True,RTX 4060,True,10,best_eager,0.098008,0.027498,eager,0.100703,cold_total,gnn_irregular
32,cold_cache,True,RTX 4060,True,50,eager,0.104061,0.00345,best_eager,0.10442,cold_total,gnn_irregular
32,cold_cache,True,RTX 4060,True,100,eager,0.109503,0.006338,best_eager,0.110197,cold_total,gnn_irregular
32,cold_cache,True,RTX 4060,True,500,best_eager,0.1502,0.015246,eager,0.15249,cold_total,gnn_irregular
1,cold_cache,True,RTX 4060,True,10,eager,0.061531,0.021079,best_eager,0.062828,cold_total,llm_decode_proxy
1,cold_cache,True,RTX 4060,True,50,graphs_only,0.066502,0.015218,graphs_input_copy,0.067514,cold_total,llm_decode_proxy
1,cold_cache,True,RTX 4060,False,100,graphs_only,0.067505,0.067595,graphs_input_copy,0.072068,cold_total,llm_decode_proxy
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.075968,0.218579,graphs_input_copy,0.092573,cold_total,llm_decode_proxy
4,cold_cache,True,RTX 4060,True,10,best_eager,0.064072,0.003449,eager,0.064293,cold_total,llm_decode_proxy
4,cold_cache,True,RTX 4060,True,50,graphs_only,0.066283,0.020865,best_eager,0.067666,cold_total,llm_decode_proxy
4,cold_cache,True,RTX 4060,False,100,graphs_only,0.066502,0.059066,graphs_input_copy,0.07043,cold_total,llm_decode_proxy
4,cold_cache,False,RTX 4060,False,500,graphs_only,0.076222,0.230813,graphs_input_copy,0.093815,cold_total,llm_decode_proxy
16,cold_cache,True,RTX 4060,True,10,best_eager,0.063575,0.016878,eager,0.064648,cold_total,llm_decode_proxy
16,cold_cache,True,RTX 4060,True,50,graphs_only,0.063582,0.046617,eager,0.066546,cold_total,llm_decode_proxy
16,cold_cache,True,RTX 4060,True,100,graphs_only,0.068868,0.027124,best_eager,0.070736,cold_total,llm_decode_proxy
16,cold_cache,False,RTX 4060,False,500,graphs_only,0.081073,0.189496,graphs_input_copy,0.096436,cold_total,llm_decode_proxy
32,cold_cache,True,RTX 4060,True,10,best_eager,0.071423,0.023536,eager,0.073104,cold_total,llm_decode_proxy
32,cold_cache,True,RTX 4060,True,50,eager,0.07396,0.011317,graphs_only,0.074797,cold_total,llm_decode_proxy
32,cold_cache,True,RTX 4060,True,100,graphs_only,0.077506,0.012076,best_eager,0.078442,cold_total,llm_decode_proxy
32,cold_cache,False,RTX 4060,False,500,graphs_only,0.093839,0.184007,graphs_input_copy,0.111106,cold_total,llm_decode_proxy
1,cold_cache,True,RTX 4060,True,10,best_eager,0.066745,0.011297,eager,0.067499,cold_total,prefill_toy
1,cold_cache,True,RTX 4060,True,50,graphs_only,0.069773,0.024594,best_eager,0.071489,cold_total,prefill_toy
1,cold_cache,False,RTX 4060,True,100,graphs_only,0.072608,0.047061,best_eager,0.076025,cold_total,prefill_toy
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.094626,0.154566,graphs_input_copy,0.109252,cold_total,prefill_toy
4,cold_cache,True,RTX 4060,True,10,best_eager,0.067484,0.01387,eager,0.06842,cold_total,prefill_toy
4,cold_cache,True,RTX 4060,True,50,graphs_only,0.071255,0.00094,best_eager,0.071322,cold_total,prefill_toy
4,cold_cache,True,RTX 4060,True,100,graphs_only,0.073835,0.032681,best_eager,0.076248,cold_total,prefill_toy
4,cold_cache,False,RTX 4060,False,500,graphs_only,0.095953,0.174315,graphs_input_copy,0.112679,cold_total,prefill_toy
16,cold_cache,True,RTX 4060,True,10,eager,0.062356,0.002502,best_eager,0.062512,cold_total,prefill_toy
16,cold_cache,True,RTX 4060,True,50,best_eager,0.065204,0.017836,graphs_only,0.066367,cold_total,prefill_toy
